"","popularity","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","duration","time_signature","id_new"
"154",67,0.683,0.734,4,-4.523,0,0.029,0.00112,0.0139,0.258,0.576,106.254,282400,4,224
"155",74,0.666,0.936,7,-9.919,1,0.0476,0.00244,0.086,0.153,0.776,91.577,282907,4,225
"156",67,0.695,0.993,0,-3.102,1,0.0614,0.00194,0.00217,0.0877,0.28,107.933,247667,4,226
"157",67,0.504,0.96,0,-1.464,1,0.183,0.00417,0.569,0.0613,0.774,96.682,238733,4,227
"158",66,0.663,0.546,5,-5.234,1,0.0269,0.0322,0.000572,0.107,0.656,88.171,289533,4,228
"159",63,0.343,0.983,0,-2.359,0,0.212,0.00107,0.296,0.0708,0.186,124.536,269360,4,229
"160",69,0.365,0.804,9,-5.922,0,0.105,0.104,6.58e-05,0.15,0.577,171.597,268733,4,230
"161",60,0.378,0.474,4,-8.202,0,0.0271,0.28,0.00138,0.117,0.38,102.379,204960,4,231
"162",68,0.852,0.651,8,-6.254,1,0.0411,0.0432,0.0192,0.158,0.96,131.01,263800,4,232
"163",63,0.499,0.705,9,-5.596,0,0.0669,0.00399,9.11e-06,0.104,0.36,123.909,277160,4,233
"164",67,0.591,0.794,4,-5.935,0,0.069,0.183,0,0.292,0.875,147.974,221440,4,234
"165",57,0.607,0.953,2,-1.744,0,0.0471,0.0706,2.94e-05,0.213,0.315,118.885,225200,4,235
"166",67,0.797,0.642,0,-8.082,1,0.0725,0.0799,1.19e-05,0.371,0.667,113.999,250387,4,236
"167",64,0.313,0.753,4,-3.921,0,0.0285,0.0313,2.25e-06,0.142,0.514,176.748,309800,4,237
"168",62,0.56,0.953,7,-2.372,0,0.0851,0.005,1.6e-05,0.226,0.519,111.911,208000,4,238
"169",64,0.623,0.936,0,-9.955,1,0.0528,0.000617,9.86e-05,0.269,0.705,101.514,217133,4,239
"170",64,0.639,0.839,5,-4.703,1,0.0634,0.0446,3.74e-06,0.468,0.603,101.447,285067,4,240
"171",61,0.558,0.924,2,-2.312,1,0.0367,0.0887,0.00326,0.263,0.344,117.111,256960,4,241
"172",57,0.283,0.982,0,-0.32,1,0.0703,0.000204,0.0756,0.0627,0.438,124.149,231333,4,242
"173",67,0.476,0.511,8,-6.25,1,0.0324,0.319,0.000129,0.119,0.339,148.158,211520,4,243
"174",60,0.439,0.709,0,-3.545,1,0.026,0.00565,0.00152,0.131,0.319,81.331,248640,4,244
"175",61,0.574,0.799,2,-3.614,1,0.0231,0.144,7.55e-05,0.114,0.446,91.656,302453,4,245
"176",60,0.524,0.946,11,-3.081,0,0.0395,0.00163,0,0.242,0.613,119.156,201267,4,246
"177",65,0.476,0.979,4,-3.506,0,0.132,0.0014,0.00729,0.0944,0.416,140.404,202053,4,247
"178",61,0.56,0.209,7,-13.591,1,0.039,0.0132,0.551,0.342,0.407,140.744,244400,4,248
"179",57,0.471,0.721,7,-3.496,1,0.0277,0.0579,0,0.094,0.3,92.882,295573,4,249
"180",57,0.54,0.884,4,-5.942,0,0.256,0.00119,0.000295,0.174,0.338,120.439,224760,4,250
"181",60,0.468,0.826,6,-3.701,0,0.0295,0.000858,5.01e-06,0.104,0.359,102.817,240333,4,251
"182",63,0.348,0.686,8,-12.748,0,0.0319,0.0233,0.00256,0.145,0.635,178.466,295373,3,252
"183",58,0.499,0.816,9,-3.913,0,0.0358,0.232,0,0.105,0.275,82.017,335893,4,253
"184",62,0.6,0.912,7,-3.449,0,0.0724,0.0198,6.52e-05,0.0883,0.506,110.339,277533,4,254
"185",62,0.439,0.885,4,-4.679,1,0.0625,0.000277,0.00367,0.372,0.495,92.738,226640,4,255
"186",60,0.355,0.87,7,-3.82,1,0.125,0.00998,0.000111,0.114,0.184,114.484,338333,4,256
"187",56,0.573,0.994,4,-0.407,0,0.342,0.0281,0.00543,0.367,0.416,114.563,198067,4,257
"188",57,0.709,0.738,7,-12.019,1,0.048,0.00236,0.795,0.073,0.671,96.24,216693,4,258
"189",55,0.396,0.657,7,-7.691,1,0.0311,0.026,0.907,0.133,0.245,100.177,187813,3,259
"190",54,0.25,0.942,9,-5.107,1,0.148,5.09e-05,0.0273,0.111,0.244,128.195,304680,4,260
"191",53,0.167,0.975,2,-4.279,1,0.216,0.000169,0.0161,0.172,0.0918,199.06,229960,4,261
"192",49,0.583,0.996,2,-2.301,1,0.143,0.0181,9.83e-06,0.2,0.174,100.508,189133,4,262
"193",52,0.772,0.888,2,-6.273,1,0.118,0.0123,0,0.12,0.706,124.646,120667,4,263
"194",50,0.577,0.582,10,-8.382,1,0.0306,0.0192,0.118,0.116,0.24,119.908,177133,4,264
"195",65,0.412,0.48,9,-9.406,0,0.0298,0.056,0.804,0.0974,0.136,75.31,215150,4,265
"196",54,0.794,0.324,10,-7.996,0,0.0705,0.395,0.0679,0.128,0.441,119.325,198016,4,266
"197",52,0.318,0.497,0,-9.613,1,0.0533,0.637,0.000643,0.084,0.244,118.091,288573,4,267
"198",62,0.391,0.152,7,-16.558,1,0.0391,0.966,0.00197,0.119,0.0974,143.508,161413,4,268
"199",58,0.382,0.283,6,-9.357,1,0.0292,0.786,0.00478,0.111,0.0441,95.3,249063,4,269
"200",65,0.348,0.226,3,-10.918,1,0.0386,0.962,0.00483,0.135,0.173,129.251,269000,3,270
"201",64,0.847,0.37,2,-10.389,1,0.0361,0.605,0.755,0.108,0.233,115.98,238667,4,271
"202",57,0.591,0.534,4,-7.929,1,0.0424,0.0207,0.0535,0.256,0.51,104.943,233149,4,272
"203",50,0.698,0.303,0,-10.338,1,0.0316,0.124,0.162,0.171,0.31,110.063,176432,4,273
"204",44,0.208,0.212,4,-14.489,0,0.038,0.937,0.133,0.144,0.192,73.439,284381,4,274
"205",61,0.282,0.132,0,-15.569,1,0.0375,0.938,0.104,0.1,0.0379,136.186,283464,4,275
"206",53,0.546,0.299,5,-14.999,1,0.0386,0.668,0.109,0.111,0.789,115.464,235580,4,276
"207",55,0.679,0.138,1,-12.766,1,0.183,0.848,2.58e-05,0.114,0.374,88.419,122915,4,277
"208",42,0.55,0.596,10,-8.962,1,0.0335,0.843,0.462,0.15,0.207,143.182,228874,4,278
"209",49,0.516,0.185,11,-12.194,0,0.0289,0.906,4.11e-05,0.112,0.101,79.049,225500,4,279
"210",38,0.477,0.72,6,-9.344,0,0.0395,0.54,0.437,0.0856,0.498,171.781,175003,4,280
"211",59,0.473,0.46,4,-10.936,1,0.0263,0.224,0.403,0.0802,0.428,141.011,243733,4,281
"212",61,0.533,0.73,5,-5.729,1,0.0286,0.0334,0,0.117,0.522,141.816,208698,4,282
"213",52,0.568,0.067,7,-13.808,1,0.0491,0.935,0,0.118,0.4,126.142,202559,4,283
"214",62,0.648,0.177,9,-13.474,0,0.0311,0.985,0.000353,0.134,0.236,99.101,228547,3,284
"215",67,0.52,0.389,4,-10.476,1,0.0403,0.83,0.0265,0.0937,0.326,133.113,213000,4,285
"216",55,0.273,0.396,3,-7.175,1,0.037,0.744,7.66e-05,0.129,0.152,74.002,310967,4,286
"217",63,0.378,0.614,1,-8.941,0,0.0387,0.706,0.00766,0.129,0.481,175.926,253360,4,287
"218",51,0.291,0.705,2,-6.796,1,0.0296,0.00606,0.000301,0.121,0.32,91.723,313621,4,288
"219",55,0.592,0.709,9,-7.07,0,0.0459,0.079,1.54e-05,0.0966,0.466,124.951,215360,4,289
"220",62,0.54,0.674,4,-8.734,1,0.0296,0.0978,0.156,0.147,0.165,95.036,195107,4,290
"221",46,0.381,0.832,8,-5.069,1,0.0492,0.0189,0.196,0.153,0.166,120.255,318800,4,291
"222",46,0.408,0.538,0,-8.425,1,0.0331,0.00368,0.675,0.261,0.0391,139.999,328774,4,292
"223",64,0.642,0.475,2,-11.404,1,0.0294,0.726,0.786,0.12,0.453,103.955,290093,3,293
"224",46,0.366,0.323,6,-8.617,1,0.026,0.877,0.000969,0.474,0.266,97.705,213013,4,294
"225",72,0.365,0.273,4,-16.526,0,0.038,0.94,0.431,0.109,0.238,132.285,248965,5,295
"226",34,0.486,0.236,11,-12.606,0,0.0278,0.731,0.601,0.12,0.194,98.062,221188,4,296
"227",36,0.516,0.88,1,-13.515,1,0.0473,0.00406,0.00157,0.33,0.508,108.006,242907,4,297
"228",29,0.697,0.241,7,-10.167,1,0.035,0.938,0.00607,0.122,0.586,129.999,150141,4,298
"229",63,0.575,0.182,0,-13.993,1,0.028,0.965,0.0139,0.114,0.287,98.062,351310,4,299
"230",38,0.584,0.58,6,-7.061,1,0.0269,0.255,0.0125,0.187,0.263,126.053,259048,4,300
"231",53,0.332,0.255,9,-13.698,0,0.0309,0.954,0.752,0.0784,0.134,187.786,480758,4,301
"232",32,0.345,0.232,1,-14.495,1,0.0319,0.947,0.717,0.0833,0.0343,130.37,293350,4,302
"233",54,0.674,0.591,6,-8.589,0,0.0758,0.432,5.64e-05,0.11,0.732,98.454,221667,4,303
"234",59,0.459,0.718,1,-7.905,0,0.0359,0.122,0.0736,0.445,0.193,98.019,191963,4,304
"235",33,0.358,0.634,2,-2.944,1,0.0438,0.023,9.93e-05,0.105,0.152,108.055,269996,4,305
"236",36,0.422,0.727,7,-5.549,0,0.0323,0.0114,0.183,0.139,0.194,139.974,245923,4,306
"237",36,0.57,0.845,0,-5.757,1,0.0331,0.0156,0.925,0.103,0.717,119.981,224907,4,307
"238",42,0.524,0.322,9,-9.595,1,0.0275,0.123,0.0248,0.0941,0.167,110.195,195436,4,308
"239",59,0.464,0.347,7,-8.847,0,0.048,0.241,0.0614,0.0977,0.556,150.028,193985,4,309
"240",66,0.657,0.589,5,-11.478,1,0.0381,0.656,0.851,0.108,0.589,129.994,273560,4,310
"241",36,0.567,0.639,1,-9.714,1,0.0427,0.112,0.0801,0.108,0.716,183.831,250213,4,311
"242",51,0.327,0.429,4,-10.005,1,0.0275,0.476,0.02,0.119,0.187,93.116,441347,4,312
"243",23,0.547,0.572,11,-10.065,0,0.0264,0.00717,0.746,0.312,0.409,100.002,327312,4,313
"244",33,0.588,0.352,10,-9.624,0,0.0403,0.812,0.0564,0.126,0.655,146.718,224728,4,314
"245",44,0.445,0.469,8,-5.981,1,0.0291,0.173,0.000624,0.0998,0.535,178.052,233547,4,315
"246",33,0.44,0.518,9,-7.234,0,0.0345,0.0945,4.13e-05,0.15,0.537,102.962,237423,3,316
"247",64,0.53,0.361,5,-9.213,1,0.0328,0.619,0.000135,0.198,0.463,95.238,211667,4,317
"248",35,0.534,0.488,2,-10.515,1,0.0251,0.345,0.119,0.105,0.176,98.975,257669,4,318
"249",71,0.334,0.397,7,-7.993,1,0.0283,0.558,0.0781,0.126,0.0351,92.291,273107,4,319
"250",65,0.511,0.622,2,-5.727,1,0.0242,0.0108,4.51e-06,0.127,0.425,99.934,196027,4,320
"251",38,0.132,0.791,2,-5.994,1,0.0322,0.00412,1.95e-05,0.0619,0.486,83.994,262253,3,321
