"","popularity","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","duration","id_new"
"32",62,0.801,0.773,8,-6.651,0,0.0896,0.563,0.00425,0.103,0.796,94.988,225693,32
"33",56,0.629,0.893,1,-4.009,0,0.275,0.181,0,0.115,0.86,94.042,269559,33
"34",27,0.753,0.628,0,-11.571,1,0.071,0.0466,0,0.317,0.691,107.253,279187,34
"35",54,0.701,0.914,0,-4.938,1,0.0851,0.0817,0,0.0448,0.886,130.078,199213,35
"36",67,0.788,0.833,8,-9.263,1,0.287,0.0134,1.04e-06,0.114,0.356,172.388,295533,36
"37",63,0.808,0.697,10,-5.899,1,0.241,0.041,0,0.0546,0.554,95.06,232020,37
"38",63,0.924,0.782,10,-4.55,0,0.0816,0.246,0,0.0659,0.745,95.01,204347,38
"39",56,0.84,0.837,5,-6.299,1,0.155,0.322,0,0.101,0.728,95.019,182570,39
"40",63,0.86,0.699,3,-6.415,0,0.0974,0.0827,0.00197,0.26,0.871,93.992,303543,40
"41",58,0.944,0.874,2,-3.814,0,0.175,0.316,0,0.374,0.836,120.056,183133,41
"42",54,0.796,0.866,10,-6.087,0,0.0595,0.096,0.00025,0.0561,0.877,94.991,246080,42
"43",31,0.763,0.597,6,-11.229,1,0.219,0.00268,0.000341,0.278,0.772,106.542,273573,43
"44",61,0.744,0.921,9,-4.521,0,0.0889,0.172,4.86e-06,0.146,0.718,93.001,157701,44
"45",44,0.751,0.881,9,-4.329,0,0.253,0.0315,1.14e-05,0.0855,0.694,92.972,291960,45
"46",47,0.841,0.808,10,-5.55,1,0.0749,0.0711,3.36e-06,0.0816,0.66,95,195680,46
"47",51,0.84,0.926,1,-0.262,1,0.108,0.0762,2.6e-06,0.321,0.567,107.981,212067,47
"48",27,0.791,0.692,3,-11.966,0,0.137,0.149,3.75e-06,0.119,0.716,109.928,1499600,48
"49",56,0.883,0.626,1,-7.541,1,0.0853,0.0648,4.24e-06,0.0594,0.565,107.023,209453,49
"50",66,0.709,0.726,7,-7.129,1,0.0411,0.0977,0,0.301,0.404,92.006,182187,50
"51",52,0.696,0.722,7,-7.352,1,0.0472,0.114,0,0.26,0.464,92.017,182187,51
"52",56,0.793,0.823,7,-6.39,1,0.0681,0.169,0.00104,0.0986,0.616,91.997,275360,52
"53",40,0.795,0.768,1,-4.954,0,0.0466,0.257,0.0266,0.0932,0.735,95.041,204514,53
"54",56,0.846,0.905,6,-3.686,0,0.0588,0.139,1.01e-05,0.228,0.843,95.018,175533,54
"55",55,0.686,0.877,8,-5.848,1,0.131,0.00221,0.243,0.108,0.877,192.008,210024,55
"56",53,0.771,0.85,11,-5.985,0,0.0558,0.334,1.87e-06,0.122,0.586,94.991,253893,56
"57",57,0.809,0.741,7,-6.077,1,0.219,0.0102,0.00103,0.0354,0.61,184.016,162413,57
"58",61,0.808,0.869,7,-6.971,1,0.0509,0.305,0,0.0983,0.848,92.165,205000,58
"59",52,0.765,0.768,2,-4.959,1,0.0742,0.18,0,0.0794,0.574,94.243,291658,59
"60",50,0.509,0.672,9,-5.527,0,0.0639,0.281,0,0.355,0.81,100.102,238891,60
"61",60,0.677,0.812,9,-5.755,0,0.032,0.284,0,0.261,0.354,95.018,246160,61
"62",57,0.608,0.73,1,-5.724,1,0.033,0.0058,0,0.313,0.48,84.012,200947,62
"63",50,0.794,0.69,6,-13.268,1,0.149,0.0327,3.62e-05,0.136,0.898,102.335,1428040,63
"64",44,0.86,0.887,1,-5.177,0,0.245,0.182,0,0.33,0.8,95.036,171307,64
"65",32,0.753,0.804,11,-8.449,0,0.06,0.00165,0.05,0.068,0.794,94.978,229695,65
"66",57,0.796,0.589,1,-8.1,1,0.0749,0.274,0.0345,0.421,0.764,95.019,254669,66
"67",55,0.79,0.551,11,-7.674,1,0.227,0.221,0,0.0682,0.787,179.277,212933,67
"68",47,0.761,0.728,9,-4.922,0,0.0837,0.0269,0,0.212,0.852,95.921,212080,68
"69",35,0.843,0.678,1,-11.934,1,0.1,0.0282,5.2e-05,0.302,0.641,106.778,1485533,69
"70",52,0.775,0.906,11,-6.704,0,0.221,0.0628,3.05e-06,0.109,0.425,108.261,157067,70
